idealStages,feedTray,refluxRatio,qC,qB,diameter,converged
14,7,1.93039931,-8.789054196,9.827013205,5.826929664,TRUE
14,6,2.06986719,-9.20719389,10.24517383,5.946133722,TRUE
14,8,1.95228982,-8.854652937,9.892629906,5.845213918,TRUE
13,7,2.02793804,-9.08132005,10.11926872,5.910256519,TRUE
13,6,2.13621617,-9.405721897,10.44360232,6.002179173,FALSE
13,8,2.10551336,-9.314122836,10.35211015,5.976460497,TRUE
15,7,1.8702726,-8.608580089,9.646567693,5.629742403,TRUE
15,6,2.03022937,-9.088338048,10.12632435,5.758587781,TRUE
15,8,1.85795364,-8.571790635,9.609741396,5.619755707,TRUE
15,9,1.92620418,-8.776328041,9.814314305,5.675168957,TRUE
16,7,1.8337056,-8.498718708,9.536756596,5.741629115,TRUE
16,6,2.00671133,-9.017798298,10.05579105,5.892124408,TRUE
16,8,1.80015411,-8.39839402,9.43632774,5.712097743,TRUE
16,9,1.83357428,-8.498510373,9.536498731,5.741573605,TRUE
17,7,1.81097407,-8.430727881,9.468716406,5.721655862,TRUE
17,6,1.99279075,-8.976036433,10.01402328,5.880139939,TRUE
17,8,,,,,FALSE
17,9,1.77608973,-8.32614886,9.364124448,5.690784691,TRUE
17,10,1.82497189,-8.472714116,9.510701637,5.734,TRUE
18,7,1.79708984,-8.389046026,9.42703317,5.709354537,TRUE
18,6,1.98433393,-8.950672924,9.988659691,5.872856007,TRUE
18,8,,,,,FALSE
18,9,1.74003518,-8.218025546,9.256028097,5.658719563,TRUE
18,10,1.76757627,-8.300569731,9.338558717,5.683213286,TRUE
18,14,2.31379076,-9.93875584,10.97674545,6.150739913,TRUE
19,7,1.7889669,-8.364732358,9.402720925,5.702192441,TRUE
19,6,1.97987133,-8.937289064,9.975275915,5.869,TRUE
19,8,,,,,FALSE
19,9,,,,,FALSE
19,10,,,,,FALSE
19,11,,,,,FALSE
19,12,1.8210252,-8.460881089,9.498867814,5.730520351,TRUE
19,13,1.91295634,-8.736694159,9.774687625,5.811079697,TRUE
20,7,1.78460637,-8.351644128,9.389634872,5.698323265,TRUE
20,6,1.97713381,-8.929079126,9.967065935,5.866648216,TRUE
20,8,,,,,FALSE
20,9,,,,,FALSE
20,10,1.70981128,-8.127435084,9.165444544,5.631732952,TRUE
20,11,1.72894311,-8.184701381,9.22268886,5.648790506,TRUE
21,7,1.78099515,-8.34079772,9.378785826,5.695112746,TRUE
21,6,1.97557788,-8.924413022,9.962400123,5.865306715,TRUE
21,8,1.7153349,-8.143786883,9.181797473,5.636583932,TRUE
21,9,1.69642832,-8.087185408,9.125175985,5.619676321,TRUE
21,10,1.69607243,-8.08611162,9.124101066,5.619350413,TRUE
21,11,1.70679494,-8.118274868,9.156263101,5.628969502,TRUE
22,7,1.77928298,-8.335680445,9.373668343,5.69360396,TRUE
22,6,1.97462302,-8.921549418,9.95953652,5.864483019,TRUE
22,8,1.71215608,-8.134571527,9.172606232,5.633890274,TRUE
22,9,1.69133312,-8.071907607,9.109897556,5.61510129,TRUE
22,10,1.68774531,-8.061136646,9.099126176,5.611869363,TRUE
22,11,1.69312738,-8.077280737,9.115269514,5.616705082,TRUE
23,7,1.77824045,-8.332553827,9.370542059,5.69267969,TRUE
23,6,1.97416514,-8.92017644,9.9581635,5.86408798,TRUE
23,8,1.71031414,-8.128840258,9.166831128,5.632127269,TRUE
23,9,1.688327,-8.062894139,9.100883669,5.612400776,TRUE
23,10,1.68263441,-8.045807222,9.083797254,5.60727342,TRUE
23,11,1.68476004,-8.052182839,9.090172453,5.609184079,TRUE
24,7,1.77765298,-8.331201742,9.369209191,5.69237286,TRUE
24,6,1.97388768,-8.919344272,9.957331374,5.863848624,TRUE
24,8,1.70995745,-8.127860673,9.165819388,5.631827119,TRUE
24,9,1.6863902,-8.057083321,9.095075154,5.610660996,TRUE
24,10,1.6795821,-8.036653202,9.074643193,5.604527159,TRUE
24,11,1.67965181,-8.036867483,9.074855045,5.604588135,TRUE
24,12,1.68380865,-8.049332047,9.087318772,5.608324046,TRUE
25,7,1.77724172,-8.329556371,9.367546697,5.691795578,TRUE
25,6,1.97371499,-8.918826658,9.956813843,5.863699934,TRUE
25,8,1.70873995,-8.124094772,9.162087944,5.630709544,TRUE
25,9,1.6853116,-8.053845585,9.09183905,5.609692103,TRUE
25,10,1.67769046,-8.030980214,9.06896987,5.602824052,TRUE
25,11,1.6766419,-8.027837853,9.065825918,5.601877531,TRUE
25,12,1.67875253,-8.03416842,9.072155689,5.603776224,TRUE
26,7,1.77706986,-8.32913317,9.367131952,5.691686299,TRUE
26,6,1.97363783,-8.918595002,9.956582188,5.86363313,TRUE
26,8,1.70820588,-8.122512412,9.160499514,5.630234914,TRUE
26,9,1.68460746,-8.051738326,9.089729741,5.609057909,TRUE
26,10,1.67653849,-8.02752468,9.065514504,5.601786697,TRUE
26,11,1.67470164,-8.022020127,9.060007815,5.600130694,TRUE
26,12,1.67568095,-8.024952101,9.062941841,5.601012175,TRUE
27,11,1.67343459,-8.018191508,9.056180619,5.598975613,TRUE
27,10,1.67565424,-8.024878455,9.062865766,5.60098774,TRUE
27,12,1.67372806,-8.019098871,9.057086391,5.599252707,TRUE
28,10,1.67523538,-8.023623504,9.061610145,5.600610112,TRUE
28,11,1.67260445,-8.015725022,9.053714594,5.598240556,TRUE
28,12,1.67243772,-8.015197569,9.053184964,5.598071743,TRUE
28,13,1.67344104,-8.018236265,9.056224204,5.599,TRUE
29,11,1.67235815,-8.014997021,9.052986509,5.598024858,TRUE
29,12,1.67177741,-8.013246771,9.051235841,5.597496066,TRUE
29,13,1.67224873,-8.014660193,9.052649221,5.597920502,TRUE
30,11,1.67210763,-8.014245784,9.052234644,5.597798431,TRUE
30,12,1.67136471,-8.012008818,9.049997846,5.597123991,TRUE
30,13,1.67141664,-8.012168377,9.05015594,5.597170265,TRUE
31,11,1.67195734,-8.013802234,9.05178988,5.597665798,TRUE
31,12,1.67110283,-8.01122484,9.049213282,5.596887959,TRUE
31,13,1.67099175,-8.010895716,9.048882273,5.596786711,TRUE
31,14,1.67132168,-8.011882335,9.049870274,5.597085028,TRUE
32,12,1.67091091,-8.01074453,9.048713922,5.596750819,TRUE
32,13,1.67074249,-8.010143892,9.048132585,5.596562963,TRUE
32,14,1.67089682,-8.010607957,9.048595938,5.596701984,TRUE
33,12,1.67082917,-8.010414736,9.048401294,5.596643906,TRUE
33,13,1.67058276,-8.009665927,9.047654285,5.596419319,TRUE
33,14,1.67065405,-8.009879035,9.04786756,5.596483721,TRUE
34,12,1.67078004,-8.010268575,9.048257477,5.59660459,TRUE
34,13,1.67048943,-8.009387547,9.047375276,5.596335248,TRUE
34,14,1.67049794,-8.009414216,9.047400941,5.596341978,TRUE
35,12,1.67075145,-8.010268742,9.048237925,5.596608453,TRUE
35,13,1.67043051,-8.009212203,9.047198886,5.596281059,TRUE
35,14,1.67040731,-8.009141991,9.047128841,5.596260169,TRUE
35,15,1.67044194,-8.009245279,9.047233511,5.596293871,TRUE
36,13,1.67038759,-8.009105482,9.047093798,5.596258108,TRUE
36,14,1.67034686,-8.008961205,9.046947804,5.596205568,TRUE
36,15,1.67035241,-8.008972635,9.046961704,5.59621143,TRUE
50,20,1.67013425,-8.008348508,9.046333014,5.59602729,TRUE
